index,word,pinyin,origin
9302,长治久安,,
9303,到手,,
9304,火光,,
9305,啪,,
9306,书本,,
9307,艾,,
9308,大纲,,
9309,高雅,,
9310,关头,,
9311,舰队,,
9312,瓦斯,,外来
9313,异议,,
9314,柄,,
9315,大肆,,
9316,溅,,
9317,卫生院,,
9318,双开,,
9319,夹,jiá,
9320,化合物,,
9321,昆虫,,
9322,参数,,
9323,警务,,
9324,产出,,
9325,光亮,,
9326,奇异,,
9327,释,,佛源;外来
9328,宣读,,
9329,杂技,,
9330,迟迟,,
9331,复杂性,,
9332,前行,,
9333,上将,,
9334,身亡,,
9335,边远,,
9336,打响,,
9337,开启,,佛源
9338,蜡烛,,
9339,姨太太,,
9340,键,,
9341,苍蝇,,
9342,腮,,
9343,跳跃,,
9344,兔子,,
9345,熏,,
9346,一通,,
9347,一阵子,,
9348,呗,,外来
9349,口吻,,
9350,碰见,,
9351,热泪,,
9352,使者,,
9353,特使,,
9354,急救,,
9355,就任,,
9356,山谷,,
9357,政局,,日源
9358,电压,,
9359,平行,,
9360,工农业,,
9361,饶,,
9362,僧,,佛源;外来
9363,提及,,
9364,妄,,
9365,峡谷,,
9366,冤枉,,
9367,地表,,
9368,辣椒,,
9369,谈心,,
9370,意境,,
9371,亟待,,
9372,源远流长,,
9373,当天,dàng tiān,
9374,功率,,
9375,海边,,
9376,尽头,,
9377,侵占,,
9378,烟花,,
9379,团员,,
9380,本子,,
9381,枯,,
9382,门类,,
9383,门路,,
9384,双双,,
9385,同乡,,
9386,无线电,,
9387,跻身,,
9388,老龄,,
9389,过问,,
9390,误区,,
9391,眼界,,
9392,云云,,
9393,踌躇,,
9394,村镇,,
9395,得分,,
9396,留心,,
9397,庭院,,
9398,走动,,
9399,察看,,
9400,坏人,,
9401,连同,,
9402,袖,,
9403,在建,,
9404,照料,,
9405,丞相,,
9406,接纳,,
9407,军委,,
9408,签证,,
9409,所属,,
9410,新兵,,
9411,样式,,
9412,众议院,,
9413,废除,,
9414,泥沙,,
9415,围攻,,
9416,公用,,
9417,脸红,,
9418,用处,,
9419,产销,,
9420,否决,,
9421,华东,,
9422,货运,,
9423,吉利,,
9424,礼堂,,
9425,文武,,
9426,幼儿,yòu ér,日源
9427,壁画,,
9428,风波,,
9429,盒子,,
9430,缩影,,
9431,天亮,,
9432,万万,,
9433,弓,,
9434,流向,,
9435,偏见,,
9436,颗粒,,
9437,反弹,,
9438,劳动生产率,,
9439,确诊,,
9440,制售,,
9441,拜年,,
9442,党章,,
9443,碟,,
9444,配偶,,
9445,后天,,
9446,某某,,
9447,疲惫,,
9448,全力以赴,,
9449,现成,,佛源
9450,饷,,
9451,照明,,日源
9452,昨日,,
9453,噯,,
9454,蛋糕,,
9455,枪声,,
9456,蕴藏,,
9457,酶,,
9458,客机,,
9459,防护林,,
9460,核定,,
9461,惊叹,,
9462,粗暴,,
9463,号称,,
9464,凝,,
9465,怯,,
9466,外事,,
9467,迎春,,
9468,对接,,
9469,瀑布,,
9470,前天,,
9471,行军,,
9472,幸亏,,
9473,预言,,
9474,天体,,
9475,点子,,
9476,附属,,
9477,警报,,
9478,垮,,
9479,量化,,
9480,岂不是,,
9481,牵动,,
9482,殊,,
9483,道道儿,,
9484,捐献,,
9485,房产,,
9486,高龄,,
9487,缅怀,,
9488,提炼,,
9489,专著,,
9490,撰,,
9491,相当于,,
9492,黄金周,,
9493,演化,,
9494,爆竹,,
9495,当年,dàng nián,
9496,官吏,,
9497,管控,,
9498,设定,,
9499,质检,,
9500,好人,,
9501,逃跑,,
9502,大专,,
9503,哆嗦,,
9504,火爆,,
9505,借用,,
9506,亩产,,
9507,超载,,
9508,津贴,,
9509,绿洲,,
9510,世俗,,佛源
9511,崖,,
9512,终端,,日源
9513,大意,dà yì,
9514,方面军,,
9515,贱,,
9516,切,qiè,
9517,全然,,
9518,树种,,
9519,四海,,
9520,温泉,,
9521,先锋队,,
9522,引向,,
9523,应酬,,
9524,原定,,
9525,精度,,
9526,奖项,,
9527,年收入,,
9528,古今,,
9529,客场,,
9530,篮,,
9531,挠,,
9532,迫害,,
9533,热水,,
9534,尉,,
9535,阻挠,,
9536,环球,,
9537,家务,,
9538,萎缩,,
9539,影像,,佛源
9540,半导体,,
9541,诧异,,
9542,飞快,,
9543,不许,,
9544,筋,,
9545,抗拒,,
9546,流动人口,,
9547,虐待,,
9548,偏远,,
9549,要命,,
9550,长途,,
9551,关节,,
9552,喃喃,,
9553,商品房,,
9554,非凡,,
9555,据此,,
9556,攀升,,
9557,搬家,,
9558,明珠,,
9559,雌,,
9560,疫病,,
9561,防空,,
9562,喊叫,,
9563,滑稽,,
9564,侥幸,,
9565,媚,,
9566,旁听,,
9567,以至于,,
9568,右边,,
9569,专制,,日源
9570,超额,,
9571,代理人,,
9572,梗,,
9573,后门,,
9574,天黑,,
9575,信用卡,,
9576,耀眼,,
9577,一概,,
9578,捕捞,,
9579,关门,,
9580,加工厂,,
9581,尿,suī,
9582,屏,bǐng,
9583,干线,,
9584,煤气,,
9585,眼角,,
9586,共鸣,,
9587,汁,,
9588,高贵,,
9589,汉奸,,
9590,施展,,
9591,嫌疑,,
9592,早晚,,
9593,小于,,
9594,稿件,,
9595,乐得,,
9596,评奖,,
9597,轻微,,
9598,增至,,
9599,包机,,
9600,沧桑,,
9601,固执,,
9602,火柴,,
9603,肩头,,
9604,破除,,
9605,服务器,,
9606,民生,,
9607,掐,,
9608,拖延,,
9609,且说,,
9610,三角形,,
9611,语法,,佛源
9612,交替,,
9613,精明,,
9614,情谊,,
9615,陶醉,,
9616,血管,,
9617,中长期,,
9618,同盟,,
9619,袜子,,
9620,淫秽,,
9621,拥军,,
9622,城建,,
9623,金子,,
9624,遥感,,
9625,珠峰,,
9626,归根,,
9627,苦闷,,
9628,修路,,
9629,元帅,,
9630,直觉,,日源
9631,痴,,佛源
9632,歌舞团,,
9633,酒吧,,外来
9634,钱财,,
9635,奔跑,,
9636,茶杯,,
9637,即刻,,
9638,流派,,
9639,劈,pī,
9640,随机,,
9641,兴致,,
9642,磁场,,
9643,饮,yìn,
9644,沉吟,,
9645,捶,,
9646,带队,,
9647,十佳,,
9648,转折,,
9649,递增,,
9650,魔鬼,,
9651,葡萄酒,,
9652,下手,,
9653,显露,,佛源
9654,育种,,日源
9655,昨夜,,
9656,后续,,
9657,梅花,,
9658,瘫痪,,
9659,休假,,
9660,商品经济,,
9661,央行,,
9662,嘿嘿,,
9663,患有,,
9664,铺子,,
9665,凸,,
9666,忘却,,
9667,线条,,
9668,窑洞,,
9669,遗迹,,
9670,奋进,,
9671,冠,guān,
9672,军装,,
9673,日出,,
9674,山林,,
9675,新四军,,
9676,一整套,,
9677,预赛,,
9678,沼气,,
9679,奔驰,,
9680,稻田,,
9681,高楼,,
9682,气派,,
9683,清查,,
9684,手势,,佛源
9685,外籍,,
9686,这样一来,,
9687,国门,,
9688,闷,mèn,
9689,搜寻,,
9690,未知,,
9691,着实,,
9692,拜访,,
9693,地名,,
9694,风流,,
9695,搞活,,
9696,苦苦,,佛源
9697,矿工,,
9698,体温,,
9699,外交官,,
9700,邪恶,,
9701,幼稚,,
9702,废止,,
9703,好日子,,
9704,合乎,,
9705,艺术品,,
9706,议政,,
9707,狱,,
9708,创刊,,
9709,音响,,
9710,大叔,,
9711,对子,,
9712,勾结,,
9713,婚姻法,,
9714,精英,,
9715,酒精,,
9716,灭亡,,
9717,使节,,
9718,首创,,
9719,网民,,
9720,相传,,
9721,岳父,,
9722,灯笼,,
9723,多变,,
9724,乐园,,
9725,让步,,
9726,世代,,
9727,体能,,
9728,万分,,
9729,中止,,
9730,悲观,,佛源
9731,宽广,,
9732,纳粹,,外来
9733,上路,,
9734,到期,,
9735,队友,,
9736,麻将,,
9737,深层,,
9738,阶,,
9739,闲置,,
9740,易于,,
9741,别看,,
9742,放射性,,
9743,可行性,,
9744,门户,,
9745,投保,,
9746,望见,,
9747,惭愧,,
9748,陡,,
9749,过时,,
9750,散布,,
9751,实说,,
9752,住宿,,
9753,精准,,
9754,蚕,,
9755,已知,,
9756,淡水,,
9757,全球性,,
9758,庄子,,
9759,组织上,,
9760,滨,,
9761,鹅,,
9762,交易会,,
9763,流淌,,
9764,评论员,,
9765,现存,,
9766,羽,,
9767,苑,,
9768,到会,,
9769,懂事,,
9770,仿,,
9771,田地,,
9772,总计,,
9773,出力,,
9774,担,dàn,
9775,集贸市场,,
9776,妓女,,
9777,军政,,
9778,条文,,
9779,陷阱,,
9780,叙事,,
9781,悲伤,,
9782,不以为然,,
9783,刹,chà,佛源;外来
9784,葱,,
9785,警力,,
9786,刻画,,
9787,联欢,,
9788,请示,,
9789,村官,,
9790,兴旺,,
9791,养活,,
9792,傲,,
9793,公道,gōng dao,
9794,求助,,
9795,柔,,
9796,谈及,,
9797,总署,,
9798,堡垒,,
9799,宽大,,
9800,下场,,
9801,相通,,
9802,印制,,
9803,百官,,
9804,故宫,,
9805,布满,,
9806,脆,,
9807,拂,,
9808,改观,,
9809,真挚,,
9810,珠江,,
9811,自费,,
9812,溶解,,
9813,后劲,,
9814,音频,,
9815,滑坡,,
9816,军士,,
9817,品尝,,
9818,痛心,,
9819,雪山,,佛源
9820,再造,,
9821,自焚,,
9822,鞭炮,,
9823,高血压,,
9824,截止,,
9825,轮胎,,
9826,能耗,,
9827,胡说,,
9828,花草,,
9829,灰尘,,
9830,启迪,,
9831,热气,,
9832,秀丽,,
9833,丢掉,,
9834,分外,,
9835,经销商,,
9836,惊慌,,
9837,矿井,,
9838,限额,,
9839,贬,,
9840,操场,,
9841,结实,,
9842,沮丧,,
9843,复牌,,
9844,看守,,
9845,少于,,
9846,镇静,,
9847,自由化,,
9848,不朽,,
9849,发抖,,
9850,既定,,
9851,接力,,
9852,耗时,,
9853,开端,,
9854,厘,,
9855,面粉,,
9856,平息,,
9857,枪支,,
9858,诸位,,
9859,定律,,
9860,董事,,
9861,恶心,,
9862,家家,,
9863,科室,,
9864,赛区,,
9865,通向,,
9866,战国,,
9867,总司令,,日源
9868,吊销,,
9869,减灾,,
9870,空洞,,
9871,飘扬,,
9872,前锋,,
9873,手册,,
9874,相机,,
9875,增设,,
9876,胀,,
9877,奔走,,
9878,地方,dì fāng,
9879,变换,,
9880,负荷,,
9881,军师,,
9882,敛,,
9883,识字,,
9884,危急,,
9885,称职,,
9886,孔雀,,
9887,娘子,,
9888,欧美,,
9889,随身,,
9890,坦然,,
9891,屠杀,,
9892,自力更生,,
9893,传染性,,
9894,规律性,,
9895,名气,,
9896,误导,,
9897,动身,,
9898,贩,,
9899,扣除,,
9900,争吵,,
9901,重伤,,
9902,电阻,,
9903,不用说,,
9904,救国,,
9905,趣,,
9906,实质上,,
9907,迎战,,
9908,贬值,,
9909,践踏,,
9910,交锋,,
9911,启用,,
9912,偷渡,,
9913,灾情,,
9914,状元,,
9915,荒凉,,
9916,通风,,
9917,药材,,
9918,方程,,
9919,分数,,
9920,感悟,,
9921,讲台,,
9922,恐龙,,外来
9923,乐于,,
9924,离休,,
9925,说到底,,
9926,图谋,,
9927,寇,,
9928,湿润,,
9929,一大早,,
9930,渊,,
9931,争执,,
9932,中叶,,
9933,焚,,
9934,京都,,外来
9935,列席,,
9936,谋划,,
9937,扭曲,,
9938,生猪,,
9939,师范,,
9940,数码,,
9941,异样,,
9942,殖民,,日源
9943,自古,,
9944,函数,,
9945,拗,ào,
9946,出手,,
9947,党刊,,
9948,珍视,,
9949,不由自主,,
9950,茶房,,
9951,查看,,
9952,钉,dīng,
9953,雕刻,,
9954,发烧,,
9955,世间,,佛源
9956,水流,,
9957,责任心,,
9958,行星,,
9959,报告文学,,
9960,公共汽车,,
9961,互惠,,
9962,接种,,
9963,戒指,,
9964,立功,,
9965,麻雀,,
9966,为重,,
9967,用意,,
9968,瓜子儿,,
9969,偏僻,,
9970,破案,,
9971,群众路线,,
9972,散打,,
9973,失学,,
9974,车票,,
9975,每每,,
9976,钠,,外来
9977,蓬,,
9978,虔诚,,
9979,捎,shāo,
9980,史学,,
9981,畏,,
9982,演练,,
9983,服务费,,
9984,疫区,,
9985,做官,,
9986,驳,,
9987,贯通,,
9988,浑,,
9989,萌芽,,
9990,匈奴,,外来
9991,贯,,
9992,何在,,
9993,男生,,
9994,闪电,,佛源
9995,眼眶,,
9996,动武,,
9997,关照,,
9998,嘉宾,,
9999,这就是说,,
10000,必要性,,
10001,从头,,
10002,动工,,
10003,兼职,,
10004,空袭,,
10005,罗盘,,
10006,呐喊,,
10007,失职,,
10008,友情,,
10009,涨价,,
10010,江湖,,
10011,所得税,,
10012,喜人,,
10013,大年,,
10014,酱,,
10015,立时,,
10016,其人,,
10017,摊派,,
10018,收缩,,
10019,饱和,,
10020,岛屿,,
10021,斗志,,
10022,鸽子,,
10023,开赛,,
10024,傻子,,
10025,示意,,
10026,万岁,,
10027,照相,,
10028,放学,,
10029,好心,,佛源
10030,计量,,
10031,男朋友,,
10032,推介,,
10033,形式上,,
10034,摆放,,
10035,工钱,,
10036,减产,,
10037,漫步,,
10038,通货膨胀,,
10039,橡胶,,
10040,幸而,,
10041,自尊,,
10042,浮动,,
10043,呼喊,,
10044,荒地,,
10045,派别,,
10046,劝说,,
10047,嗅,,
10048,淡化,,
10049,揭幕,,
10050,路程,,
10051,绿色通道,,
10052,秘,,
10053,梳理,,
10054,小心翼翼,,
10055,致电,,
10056,凳子,,
10057,忽而,,
10058,袖子,,
10059,怀孕,,
10060,受损,,
10061,推测,,
10062,种地,,
10063,刀子,,
10064,发愁,,
10065,善意,,佛源
10066,书刊,,
10067,抒情,,
10068,膝盖,,
10069,细化,,
10070,直奔,,
10071,查阅,,
10072,吃力,,
10073,四季,,
10074,危房,,
10075,眼色,,
10076,恒星,,
10077,变异,,佛源
10078,脂肪,,
10079,病床,,
10080,步子,,
10081,财税,,
10082,伤感,,
10083,蹄,,
10084,甜蜜,,
10085,亲朋好友,,
10086,虚伪,,
10087,朝,zhāo,
10088,政治体制,,
10089,攥,,
10090,侧重,,
10091,鼎,,
10092,废旧,,
10093,持仓,,
10094,母女,,
10095,瓶子,,
10096,牲口,,
10097,长寿,,
10098,腻,,
10099,有功,,
10100,本性,,佛源
10101,错过,,
10102,大路,,
10103,个性化,,
10104,供热,,
10105,矿区,,
10106,谋取,,
10107,陕,,
10108,以南,,
10109,银牌,,
10110,斋,,佛源
10111,憧憬,,
10112,创意,,
10113,腹地,,
10114,抉择,,
10115,抿,,
10116,牧区,,
10117,慌乱,,
10118,鞠躬,,
10119,开庭,,
10120,慢性,,
10121,省会,,
10122,圣地,,
10123,荧屏,,
10124,图形,,
10125,大关,,
10126,异地,,
10127,有余,,
10128,回信,,
10129,晋级,,
10130,爽,,
10131,尺寸,,
10132,飞翔,,
10133,好友,,
10134,愚蠢,,
10135,预见,,
10136,力学,,
10137,安居乐业,,
10138,出名,,
10139,符,,
10140,攻势,,
10141,激活,,
10142,辽阔,,
10143,没错,,
10144,榜单,,
10145,探亲,,
10146,吟,,
10147,贡,,
10148,交接,,
10149,听话,,
10150,严寒,,
10151,夜色,,
10152,科目,,
10153,吭,,
10154,中途,,
10155,自私,,
10156,叭,,
10157,饥,,
10158,埋头,,
10159,型号,,
10160,噪音,,日源
10161,照耀,,
10162,手艺,,
10163,以北,,
10164,海滩,,
10165,看中,,
10166,求得,,
10167,上层建筑,,
10168,胸口,,
10169,烟雾,,
10170,之首,,
10171,害虫,,
10172,兑,,
10173,该死,,
10174,坎坷,,
10175,课题组,,
10176,凝固,,
10177,腥,,
10178,种苗,,
10179,蠢,,
10180,防务,,
10181,飞扬,,
10182,分头,,
10183,下巴,,
10184,低价,,
10185,积雪,,
10186,缴费,,
10187,离家,,
10188,农历,,
10189,摘要,,日源
10190,学派,,
10191,标签,,
10192,长年,,
10193,拘,,
10194,美容,,
10195,享年,,
10196,资讯,,
10197,惊动,,
10198,举重,,
10199,开枪,,
10200,脉络,,
10201,上层,,
10202,外观,,
10203,新奇,,
10204,摇篮,,佛源
10205,匆忙,,
10206,对联,,
10207,乖,,
10208,皇家,,
10209,梦见,,
10210,祈祷,,
10211,热衷,,
10212,圣人,,
10213,纵然,,
10214,服用,,
10215,改名,,
10216,接口,,
10217,劳动密集型,,
10218,笑嘻嘻,,佛源
10219,直观,,日源
10220,包裹,,
10221,渤海,,
10222,触动,,
10223,词典,,
10224,复合,,
10225,国税,,
10226,急性,,
10227,来宾,,
10228,联席会议,,
10229,驱车,,
10230,诠释,,
10231,条子,,
10232,小鸟,,
10233,学界,,
10234,规模化,,
10235,僵,,
10236,洁,,
10237,首府,,
10238,无罪,,
10239,有幸,,
10240,部件,,
10241,单边,,
10242,定居,,
10243,基建,,
10244,继而,,
10245,切断,,
10246,凿,,
10247,考评,,
10248,气力,,
10249,强盗,,
10250,驶,,
10251,大兴,,
10252,贩卖,,
10253,感想,,
10254,刑警,,
10255,安危,,
10256,绸,,
10257,法宝,,佛源
10258,感染力,,
10259,廉价,,
10260,为人,,
10261,文集,,
10262,现今,,佛源
10263,学士,,
10264,照着,,
10265,邦交,,
10266,不敌,,
10267,长短,,
10268,大象,,
10269,短波,,
10270,缴获,,
10271,脉搏,,
10272,盘子,,
10273,上交,,
10274,投机,,佛源
10275,毅力,,
10276,病虫害,,
10277,对准,,
10278,分级,,
10279,公德,,
10280,解剖,,
10281,撩,liāo,
10282,炮兵,,
10283,篇幅,,
10284,诗句,,
10285,忘掉,,
10286,行政区,,
10287,板凳,,
10288,过节,,
10289,好容易,,
10290,巨资,,
10291,首饰,,
10292,掩护,,
10293,长子,,
10294,只怕,,
10295,别扭,,
10296,杠杆,,
10297,高价,,
10298,侵入,,
10299,坦诚,,
10300,过早,,
10301,要不然,,
10302,何尝,,
10303,雷雨,,
10304,平坦,,佛源
10305,伊斯兰教,,
10306,有线电视,,
10307,肚皮,,佛源
10308,愤慨,,
10309,可信,,
10310,冷却,,
10311,省,xǐng,
10312,报到,,
10313,歌词,,
10314,劈,pǐ,
10315,妖,,
10316,张望,,
10317,按摩,,
10318,颤动,,
10319,根基,,
10320,耕作,,
10321,管家,,
10322,画像,,
10323,入库,,
10324,庄重,,
10325,气流,,
10326,画展,,
10327,开头,,
10328,私利,,
10329,鞋子,,
10330,压倒,,
10331,涌动,,
10332,地势,,
10333,高空,,
10334,驾车,,
10335,姐夫,,
10336,求职,,
10337,俗话说,,
10338,印度洋,,外来
10339,不可思议,,佛源
10340,不作声,,
10341,河滩,,
10342,奖惩,,
10343,精髓,,
10344,开关,,
10345,喜事,,
10346,新式,,
10347,乘机,,
10348,重温,,
10349,大西洋,,
10350,地层,,
10351,间断,,佛源
10352,解体,,
10353,溶,,
10354,突如其来,,
10355,着呢,,
10356,主动权,,
10357,专款,,
10358,承载,,
10359,纠,,
10360,造假,,
10361,渣,,
10362,扳,,
10363,后院,,
10364,动画,,
10365,怪不得,,
10366,霍,,
10367,普遍性,,
10368,墙角,,
10369,受命,,
10370,威风,,
10371,义军,,
10372,不屑,,
10373,工商联,,
10374,姑母,,
10375,扭头,,
10376,陪伴,,
10377,前辈,,
10378,伊始,,
10379,值钱,,
10380,凹,,
10381,大喜,,
10382,电动,,
10383,工农,,
10384,护照,,
10385,饮用,,
10386,油菜,,
10387,纵深,,
10388,茎,,
10389,被窝儿,,
10390,定向,,
10391,发泄,,
10392,宫廷,,
10393,情不自禁,,
10394,要点,,
10395,一并,,
10396,照亮,,
10397,初衷,,
10398,弹药,,
10399,气概,,佛源
10400,舔,,
10401,无序,,
10402,小雪,,
10403,致命,,
10404,编导,,
10405,铲,,
10406,单方面,,
10407,电子邮件,,
10408,堆积,,
10409,含笑,,
10410,嫉妒,,
10411,经纪人,,
10412,就读,,
10413,培植,,
10414,涉案,,
10415,首领,,
10416,探望,,
10417,镶,,
10418,活性,,
10419,客体,,
10420,沉痛,,
10421,成天,,
10422,缚,,
10423,后世,,
10424,晋升,,
10425,精通,,
10426,美感,,
10427,奶粉,,
10428,文化馆,,
10429,放手,,
10430,孵化,,
10431,施政,,
10432,鲜红,,
10433,琢磨,zuó mo,
10434,天文台,,
10435,国策,,
10436,偏差,,
10437,日月,,
10438,邀请赛,,
10439,云集,,
10440,行车,,
10441,责成,,
10442,畅销,,
10443,风浪,,
10444,江水,,
10445,伤愈,,
10446,实习,,
10447,未卜,,
10448,兴致勃勃,,
10449,肮脏,,
10450,工作日,,
10451,古迹,,佛源
10452,克制,,
10453,菱,,
10454,清单,,
10455,山沟,,
10456,西边,,
10457,小儿,xiǎo ér,
10458,一条龙,,
10459,正中,,
10460,庄稼人,,
10461,衬,,
10462,创伤,,
10463,及早,,
10464,经销,,
10465,牧场,,
10466,同级,,
10467,外债,,
10468,柴油,,
10469,负债,,
10470,老远,,
10471,力图,,
10472,漆黑,,
10473,身体力行,,
10474,产地,,
10475,长叹,,
10476,窗帘,,
10477,激励机制,,
10478,联名,,
10479,史诗,,
10480,板块,,
10481,编辑部,,
10482,尘土,,佛源
10483,发誓,,佛源
10484,聆听,,
10485,屡屡,,
10486,通电,,
10487,铜牌,,
10488,畜禽,,
10489,废墟,,
10490,抚养,,
10491,轨迹,,
10492,红包,,
10493,腊,,
10494,勺,,
10495,时段,,
10496,想象力,,
10497,饮酒,,
10498,果真,,
10499,煎,,
10500,开战,,
10501,夸大,,
10502,锣,,
10503,实绩,,
10504,坦白,,
10505,一心一意,,
10506,支流,,
10507,老爹,,
10508,水产品,,
10509,糟糕,,
10510,报废,,
10511,搏斗,,
10512,功勋,,
10513,患病,,
10514,俨然,,
10515,诱人,,
10516,提振,,
10517,不复,,
10518,个子,,
10519,互为,,
10520,话音,,
10521,手帕,,
10522,坦率,,
10523,天主教,,
10524,卫生间,,
10525,自主权,,日源
10526,合唱,,
10527,及至,,
10528,疗法,,
10529,人造,,
10530,想念,,
10531,东欧,,
10532,汇聚,,
10533,精湛,,
10534,默然,,
10535,实情,,
10536,市场体系,,
10537,照射,,
10538,争相,,
10539,暗地,,
10540,丑闻,,
10541,顾不得,,
10542,火烧,,
10543,全运会,,
10544,谭,,
10545,步兵,,
10546,出声,,
10547,楷模,,
10548,红酒,,
10549,空间站,,
10550,炉子,,
10551,说服力,,
10552,中资,,
10553,终点,,日源
10554,撞击,,
10555,总指挥,,日源
10556,昂扬,,
10557,麻子,,
10558,免不了,,
10559,宁愿,,
10560,天性,,
10561,通告,,
10562,无权,,
10563,杂志社,,
10564,败坏,,
10565,成年,,
10566,倒退,,
10567,怜悯,,
10568,烈,,
10569,锣鼓,,
10570,舒,,
10571,玄,,
10572,个体户,,
10573,机票,,
10574,芦苇,,
10575,哪能,,
10576,特殊性,,
10577,超前,,
10578,出线,,
10579,赶赴,,
10580,变频,,
10581,巨人,,
10582,录音,,
10583,面容,,
10584,煽动,,
10585,作曲家,,日源
10586,大将,,
10587,滇,,
10588,浮躁,,
10589,积压,,
10590,听从,,
10591,许诺,,
10592,摇晃,,
10593,移送,,
10594,冰冷,,
10595,企稳,,
10596,察觉,,
10597,纪录片,,
10598,喀布尔,,外来
10599,人才市场,,
10600,扮,,
10601,采矿,,
10602,帝王,,
10603,深山,,
10604,驮,tuó,
10605,惋惜,,
10606,营运,,
10607,优待,,
10608,淡薄,,
10609,点缀,,
10610,桂花,,
10611,急促,,
10612,紧缩,,
10613,凝结,,
10614,破裂,,
10615,入股,,
10616,身躯,,
10617,洗衣机,,
10618,远近,,
10619,殖民地,,日源
10620,车轮,,
10621,脚踏实地,,佛源
10622,隶属,,
10623,人世,,
10624,任教,,
10625,辩证法,,
10626,掺,,
10627,保有量,,
10628,吵架,,
10629,举手,,
10630,杀跌,,
10631,聘用,,
10632,忍心,,
10633,说了算,,
10634,外围,,
10635,想必,,
10636,坟墓,,
10637,赖以,,
10638,连任,,
10639,扫除,,
10640,头疼,,
10641,杂文,,
10642,战机,,日源
10643,终日,,
10644,悲壮,,
10645,别说,,
10646,名言,,
10647,拟定,,
10648,四肢,,
10649,微型,,
10650,香味,,
10651,胸膛,,
10652,征程,,
10653,志愿军,,
10654,酿成,,
10655,炮弹,,
10656,思绪,,
10657,帮教,,
10658,沉积,,
10659,丰满,,
10660,高官,,
10661,毁坏,,
10662,降雨,,
10663,兽医,,
10664,肆虐,,
10665,穴,,
10666,译本,,
10667,真实性,,
10668,正要,,
10669,政变,,日源
10670,碍,,
10671,车门,,
10672,风声,,
10673,航道,,
10674,快车,,
10675,面色,,
10676,名副其实,,
10677,谦虚,,
10678,受骗,,
10679,治愈,,
10680,传记,,
10681,自有,,
10682,变质,,
10683,残忍,,
10684,长处,,佛源
10685,底蕴,,
10686,受害,,
10687,通航,,
10688,锌,,外来
10689,不约而同,,
10690,村落,,
10691,返乡,,
10692,后顾之忧,,
10693,纪念日,,
10694,假使,,
10695,苗木,,
10696,培,,
10697,张扬,,
10698,法令,,
10699,横向,,
10700,男单,,
10701,疯子,,
10702,开国,,
10703,匮乏,,
10704,留守,,
10705,绒,,
10706,炭,,
10707,诊所,,
10708,额度,,
10709,家禽,,
10710,单,shàn,
10711,调配,tiáo pèi,
10712,驻外,,
10713,筹划,,
10714,辍学,,
10715,规程,,
10716,上头,shàng tou,
10717,微妙,,
10718,辗转,,
10719,吃喝,,
10720,出战,,
10721,归结,,
10722,迷惑,,
10723,欣然,,
10724,成年人,,
10725,合一,,
10726,激素,,
10727,前身,,佛源
10728,样本,,
10729,语调,,日源
10730,自已,,
10731,荡荡,,
10732,基石,,
10733,庙会,,
10734,全权,,
10735,生产方式,,
10736,手腕,,
10737,展厅,,
10738,遵照,,
10739,好汉,,
10740,火热,,
10741,清脆,,
10742,下意识,,
10743,自尽,,
10744,半天,,
10745,罢工,,
10746,不公,,
10747,登台,,
10748,独有,,
10749,明月,,
10750,无需,,
10751,主人翁,,
10752,访谈,,
10753,戈壁,,外来
10754,抗争,,
10755,老者,,
10756,聋,,
10757,梦幻,,
10758,特邀,,
10759,威严,,
10760,治污,,
10761,冬奥会,,
10762,冷落,,
10763,首付,,
10764,舍得,,
10765,小车,,
10766,原野,,
10767,镇定,,
10768,昂贵,,
10769,哽咽,,
10770,脊梁,,
10771,家政,,
10772,勘察,,
10773,求学,,
10774,试想,,
10775,暑期,,
10776,探险,,
10777,医疗队,,
10778,白人,,
10779,放射,,
10780,谎言,,
10781,荔枝,,
10782,人手,,
10783,私有,,
10784,作法,,
10785,做文章,,
10786,采伐,,
10787,除夕,,
10788,加倍,,
10789,泉水,,
10790,思想家,,
10791,打赢,,
10792,电影院,,
10793,反问,,
10794,关中,,
10795,海岛,,
10796,觉醒,,
10797,盲人,,佛源
10798,事事,,
10799,淹,,
10800,蕴含,,
10801,召回,,
10802,汽,,
10803,潜艇,,
10804,无心,,
10805,逼人,,
10806,濒临,,
10807,户外,,
10808,加油,,
10809,区位,,
10810,书信,,
10811,苏维埃,,外来
10812,下台,,
10813,印章,,
10814,自强不息,,
10815,归侨,,
10816,花儿,huār,
10817,近似,,
10818,失衡,,
10819,守信,,
10820,错综复杂,,
10821,款项,,
10822,难于,,
10823,施加,,
10824,手绢,,
10825,庸俗,,
10826,共和,,
10827,团聚,,
10828,细雨,,
10829,行进,,
10830,波浪,,
10831,出血,,
10832,归属,,
10833,紧缺,,
10834,磕头,,
10835,清澈,,
10836,涉外,,
10837,衰老,,
10838,意料,,
10839,凡事,,
10840,会面,,
10841,积极分子,,
10842,正能量,,
10843,吉祥,,
10844,倾注,,
10845,素材,,
10846,网络化,,
10847,愚昧,,
10848,房东,,
10849,放假,,
10850,环绕,,
10851,激战,,
10852,妥当,,
10853,雄伟,,
10854,质问,,
10855,处以,,
10856,非但,,
10857,国产化,,
10858,数值,,
10859,月刊,,日源
10860,正当,zhèng dāng,日源
10861,蔽,,
10862,炒作,,
10863,讴歌,,
10864,盛开,,
10865,西服,,
10866,下调,,
